match_id,team,avg_rating,avg_acs,avg_kast,avg_adr,avg_fk,avg_fd
167348,KOI,0.88,170.5,68.1,112.6,1.6,3.0
167348,NRG,1.1,196.2,76.9,126.6,3.0,1.6
167349,DetonatioN FocusMe,0.73,167.0,60.6,108.8,1.5,2.2
167349,Giants Gaming,1.27,217.8,84.2,148.8,2.2,1.5
167350,Gen.G,1.0,200.7,73.3,125.1,2.4,2.4
167350,LOUD,1.06,208.5,72.7,139.9,2.4,2.4
167351,FunPlus Phoenix,0.9,185.07,70.87,118.87,1.2,2.73
167351,Karmine Corp,1.09,211.33,74.47,131.87,2.73,1.2
167352,BBL Esports,0.85,175.93,66.53,115.93,1.73,2.27
167352,KIWOOM DRX,1.18,220.27,81.47,142.73,2.27,1.73
167353,Cloud9,1.25,231.4,86.5,148.8,2.2,1.6
167353,Paper Rex,0.78,176.2,68.9,123.1,1.6,2.2
167354,Evil Geniuses,1.13,221.5,80.1,140.4,2.3,1.9
167354,Team Heretics,0.94,193.5,72.8,125.3,1.9,2.3
167355,MIBR,1.02,208.2,70.9,135.0,2.3,2.2
167355,TALON,1.01,214.0,71.4,137.1,2.2,2.3
167356,Giants Gaming,0.86,182.67,69.07,122.87,1.73,2.2
167356,NRG,1.13,215.8,81.33,139.6,2.27,1.8
167357,Karmine Corp,0.96,196.1,70.2,128.1,1.8,2.6
167357,LOUD,1.06,205.7,74.5,137.6,2.6,1.8
167358,Cloud9,0.96,189.33,67.53,122.27,1.33,2.07
167358,KIWOOM DRX,1.07,209.13,72.8,138.13,2.07,1.33
167359,Evil Geniuses,0.97,193.7,71.2,126.1,2.1,2.6
167359,TALON,1.07,211.5,77.0,139.0,2.6,2.1
167360,LOUD,1.11,218.33,75.2,144.73,2.4,2.8
167360,NRG,0.93,202.13,71.47,132.8,2.8,2.4
167361,KIWOOM DRX,1.1,212.0,76.27,135.4,1.93,2.4
167361,TALON,0.92,187.2,68.47,127.53,2.4,1.93
167362,Team Liquid,0.88,198.8,67.1,123.8,1.8,2.3
167362,Team Secret,1.14,214.8,79.5,136.0,2.3,1.8
167363,KRÜ Esports,0.73,153.6,63.0,103.7,1.9,2.2
167363,Natus Vincere,1.28,226.1,83.5,151.3,2.2,1.9
167364,LEVIATÁN,1.2,212.4,80.4,135.7,2.9,1.1
167364,ZETA DIVISION,0.74,159.2,63.7,106.2,1.2,3.0
167365,Global Esports,0.84,180.73,67.13,114.87,2.0,1.87
167365,Team Vitality,1.16,217.2,77.73,139.2,1.87,2.0
167366,FUT Esports,1.12,214.4,78.3,139.3,2.3,1.7
167366,Rex Regum Qeon,0.88,189.3,69.7,125.5,1.7,2.3
167367,100 Thieves,1.05,203.33,68.93,137.13,1.87,2.87
167367,EDward Gaming,0.97,205.0,70.53,134.2,2.87,1.87
167368,FNATIC,1.21,214.9,79.9,132.7,2.4,1.5
167368,Sentinels,0.76,160.7,65.6,108.5,1.5,2.4
167369,FURIA,1.22,223.6,78.0,143.0,2.6,1.4
167369,T1,0.8,178.2,67.0,115.4,1.4,2.6
167370,Natus Vincere,1.3,242.7,82.4,159.8,2.7,1.1
167370,Team Secret,0.68,159.6,53.9,103.0,1.1,2.7
167371,LEVIATÁN,1.16,224.1,73.7,145.7,2.6,2.0
167371,Team Vitality,0.86,195.2,67.0,129.3,2.0,2.6
167372,100 Thieves,1.1,216.27,78.0,141.87,2.47,2.0
167372,FUT Esports,0.94,204.4,68.67,131.47,2.0,2.47
167373,FNATIC,1.14,212.0,74.5,140.1,2.8,2.8
167373,FURIA,0.88,186.7,67.5,117.9,2.8,2.8
167374,LEVIATÁN,0.72,164.5,63.5,110.4,1.8,2.1
167374,Natus Vincere,1.22,213.8,81.6,132.6,2.0,1.7
167375,100 Thieves,0.69,167.4,62.1,111.7,1.2,2.5
167375,FNATIC,1.32,241.4,87.2,156.4,2.5,1.2
167391,KIWOOM DRX,0.94,195.4,68.96,126.36,1.76,2.24
167391,LOUD,1.07,205.24,74.48,133.36,2.24,1.76
167392,FNATIC,1.14,208.13,76.67,135.93,1.93,2.4
167392,Natus Vincere,0.85,172.47,66.6,118.07,2.4,1.93
167393,FNATIC,1.03,209.08,73.64,137.56,2.16,2.24
167393,LOUD,0.96,193.16,70.28,127.96,2.24,2.16
173214,FNATIC,1.18,214.7,82.0,137.6,2.3,1.7
173214,Giants Gaming,0.82,178.8,65.7,119.4,1.7,2.3
173215,KOI,1.14,210.3,73.1,140.8,3.2,2.6
173215,Natus Vincere,0.92,187.7,71.6,129.7,2.6,3.2
173216,FUT Esports,1.28,233.9,80.1,149.8,2.5,1.4
173216,Team Heretics,0.73,172.8,60.6,115.4,1.4,2.5
173217,Team Liquid,1.08,196.53,74.13,127.27,2.4,1.4
173217,Team Vitality,0.9,177.53,63.53,115.6,1.4,2.4
173218,Giants Gaming,0.98,198.07,71.07,130.33,2.67,2.67
173218,Natus Vincere,1.0,202.07,73.87,132.6,2.67,2.67
173219,BBL Esports,0.84,179.2,66.9,120.6,2.2,3.9
173219,Karmine Corp,1.16,216.8,77.8,146.8,3.8,2.1
173220,FUT Esports,0.89,184.8,66.67,121.73,1.8,2.27
173220,Team Liquid,1.15,224.67,79.87,143.33,2.27,1.8
173221,KOI,0.93,198.2,72.3,132.3,1.9,3.1
