match_id,map_name,team,avg_rating,avg_acs,avg_kast,avg_adr,avg_fk,avg_fd
167348,Haven,KOI,0.84,166.6,72.0,107.2,1.6,2.8
167348,Haven,NRG,1.11,188.2,78.8,121.8,2.8,1.6
167348,Icebox,KOI,0.91,174.4,64.2,118.0,1.6,3.2
167348,Icebox,NRG,1.08,204.2,75.0,131.4,3.2,1.6
167349,Haven,DetonatioN FocusMe,0.63,154.4,61.2,102.8,1.4,2.0
167349,Haven,Giants Gaming,1.37,225.8,90.4,149.0,2.0,1.4
167349,Icebox,DetonatioN FocusMe,0.83,179.6,60.0,114.8,1.6,2.4
167349,Icebox,Giants Gaming,1.17,209.8,78.0,148.6,2.4,1.6
167350,Fracture,Gen.G,1.02,210.4,79.4,130.6,2.4,2.8
167350,Fracture,LOUD,1.05,211.0,76.2,143.6,2.8,2.4
167350,Pearl,Gen.G,0.99,191.0,67.2,119.6,2.4,2.0
167350,Pearl,LOUD,1.06,206.0,69.2,136.2,2.0,2.4
167351,Haven,FunPlus Phoenix,1.06,210.6,78.2,138.6,2.2,2.0
167351,Haven,Karmine Corp,0.92,193.2,67.6,118.6,2.0,2.2
167351,Lotus,FunPlus Phoenix,0.81,176.2,68.4,111.8,0.4,3.4
167351,Lotus,Karmine Corp,1.2,225.2,76.8,140.4,3.4,0.4
167351,Pearl,FunPlus Phoenix,0.82,168.4,66.0,106.2,1.0,2.8
167351,Pearl,Karmine Corp,1.16,215.6,79.0,136.6,2.8,1.0
167352,Ascent,BBL Esports,1.04,201.2,74.2,130.6,3.0,1.8
167352,Ascent,KIWOOM DRX,1.03,206.8,72.6,140.6,1.8,3.0
167352,Haven,BBL Esports,0.81,165.8,64.0,106.8,0.8,3.2
167352,Haven,KIWOOM DRX,1.2,216.4,79.0,144.8,3.2,0.8
167352,Pearl,BBL Esports,0.69,160.8,61.4,110.4,1.4,1.8
167352,Pearl,KIWOOM DRX,1.31,237.6,92.8,142.8,1.8,1.4
167353,Lotus,Cloud9,1.18,221.4,83.8,144.0,2.4,1.8
167353,Lotus,Paper Rex,0.86,184.0,74.2,124.2,1.8,2.4
167353,Pearl,Cloud9,1.32,241.4,89.2,153.6,2.0,1.4
167353,Pearl,Paper Rex,0.7,168.4,63.6,122.0,1.4,2.0
167354,Ascent,Evil Geniuses,1.22,240.4,82.8,153.2,2.6,1.6
167354,Ascent,Team Heretics,0.9,195.2,69.4,126.6,1.6,2.6
167354,Pearl,Evil Geniuses,1.04,202.6,77.4,127.6,2.0,2.2
167354,Pearl,Team Heretics,0.97,191.8,76.2,124.0,2.2,2.0
167355,Fracture,MIBR,1.06,205.0,67.6,132.4,2.6,2.2
167355,Fracture,TALON,0.98,211.0,68.6,135.8,2.2,2.6
167355,Haven,MIBR,0.98,211.4,74.2,137.6,2.0,2.2
167355,Haven,TALON,1.04,217.0,74.2,138.4,2.2,2.0
167356,Haven,Giants Gaming,0.67,165.8,67.0,113.8,1.6,1.2
167356,Haven,NRG,1.3,232.2,84.6,150.0,1.2,1.6
167356,Icebox,Giants Gaming,0.79,172.6,65.0,114.4,1.2,2.6
167356,Icebox,NRG,1.21,226.6,85.0,147.6,2.8,1.4
167356,Lotus,Giants Gaming,1.12,209.6,75.2,140.4,2.4,2.8
167356,Lotus,NRG,0.89,188.6,74.4,121.2,2.8,2.4
167357,Pearl,Karmine Corp,0.99,201.2,73.8,132.0,2.2,2.4
167357,Pearl,LOUD,1.05,204.8,74.8,139.2,2.4,2.2
167357,Split,Karmine Corp,0.93,191.0,66.6,124.2,1.4,2.8
167357,Split,LOUD,1.06,206.6,74.2,136.0,2.8,1.4
167358,Haven,Cloud9,0.88,178.2,61.0,119.2,1.8,2.2
167358,Haven,KIWOOM DRX,1.16,219.8,78.0,150.8,2.2,1.8
167358,Icebox,Cloud9,0.6,146.8,58.8,92.4,1.0,2.0
167358,Icebox,KIWOOM DRX,1.37,231.6,82.8,144.0,2.0,1.0
167358,Pearl,Cloud9,1.39,243.0,82.8,155.2,1.2,2.0
167358,Pearl,KIWOOM DRX,0.67,176.0,57.6,119.6,2.0,1.2
167359,Haven,Evil Geniuses,0.94,184.8,70.0,118.0,1.8,3.0
167359,Haven,TALON,1.12,214.4,80.8,142.0,3.0,1.8
167359,Split,Evil Geniuses,1.0,202.6,72.4,134.2,2.4,2.2
167359,Split,TALON,1.02,208.6,73.2,136.0,2.2,2.4
167360,Fracture,LOUD,1.05,209.2,73.2,137.8,2.8,4.0
167360,Fracture,NRG,1.0,208.6,74.8,137.2,4.0,2.8
167360,Pearl,LOUD,0.98,209.4,68.6,141.0,3.0,2.6
167360,Pearl,NRG,1.09,223.6,75.6,148.0,2.6,3.0
167360,Split,LOUD,1.31,236.4,83.8,155.4,1.4,1.8
167360,Split,NRG,0.7,174.2,64.0,113.2,1.8,1.4
167361,Ascent,KIWOOM DRX,1.24,224.6,75.8,145.6,2.0,1.8
167361,Ascent,TALON,0.81,180.6,65.2,122.2,1.8,2.0
167361,Fracture,KIWOOM DRX,0.94,195.2,72.2,122.2,1.6,3.0
167361,Fracture,TALON,1.1,208.2,72.4,141.2,3.0,1.6
167361,Icebox,KIWOOM DRX,1.13,216.2,80.8,138.4,2.2,2.4
167361,Icebox,TALON,0.86,172.8,67.8,119.2,2.4,2.2
167362,Fracture,Team Liquid,0.8,186.0,61.0,112.4,1.2,2.8
167362,Fracture,Team Secret,1.22,219.4,82.0,133.4,2.8,1.2
167362,Icebox,Team Liquid,0.97,211.6,73.2,135.2,2.4,1.8
167362,Icebox,Team Secret,1.07,210.2,77.0,138.6,1.8,2.4
167363,Ascent,KRÜ Esports,0.65,139.0,59.0,94.8,1.6,2.0
167363,Ascent,Natus Vincere,1.38,226.2,85.4,150.6,2.0,1.6
